Episode 1: Reward: 39.0, Length: 4444, Steps: 4444, Memory Length: 4444
Episode 329: Reward: 6.0, Length: 4422, Steps: 1616406, Memory Length: 1000000
Episode 330: Reward: 32.0, Length: 4448, Steps: 1621348, Memory Length: 1000000
Episode 331: Reward: 2.0, Length: 4466, Steps: 1626311, Memory Length: 1000000
Average Reward over 5 episodes: 22.0
Episode 332: Reward: 15.0, Length: 4456, Steps: 1631262, Memory Length: 1000000
Episode 333: Reward: 18.0, Length: 4443, Steps: 1636198, Memory Length: 1000000
Episode 334: Reward: 27.0, Length: 4406, Steps: 1641094, Memory Length: 1000000
Episode 335: Reward: 33.0, Length: 4449, Steps: 1646037, Memory Length: 1000000
Episode 336: Reward: 17.0, Length: 4431, Steps: 1650961, Memory Length: 1000000
Episode 337: Reward: 29.0, Length: 4432, Steps: 1655885, Memory Length: 1000000
Episode 338: Reward: 19.0, Length: 4455, Steps: 1660835, Memory Length: 1000000
Episode 339: Reward: 11.0, Length: 4482, Steps: 1665815, Memory Length: 1000000
Episode 340: Reward: 76.0, Length: 4437, Steps: 1670745, Memory Length: 1000000
Episode 341: Reward: 0.0, Length: 4425, Steps: 1675662, Memory Length: 1000000
Average Reward over 5 episodes: 23.6
Episode 342: Reward: 0.0, Length: 4415, Steps: 1680567, Memory Length: 1000000
Episode 343: Reward: 26.0, Length: 4421, Steps: 1685479, Memory Length: 1000000
Episode 344: Reward: 8.0, Length: 4428, Steps: 1690399, Memory Length: 1000000
Episode 345: Reward: 37.0, Length: 4454, Steps: 1695348, Memory Length: 1000000
Episode 346: Reward: 5.0, Length: 4431, Steps: 1700272, Memory Length: 1000000
Episode 347: Reward: 26.0, Length: 4451, Steps: 1705217, Memory Length: 1000000
Episode 348: Reward: 28.0, Length: 4456, Steps: 1710168, Memory Length: 1000000
Episode 349: Reward: 38.0, Length: 4440, Steps: 1715102, Memory Length: 1000000
Episode 350: Reward: 28.0, Length: 4395, Steps: 1719985, Memory Length: 1000000
Episode 351: Reward: 12.0, Length: 4426, Steps: 1724903, Memory Length: 1000000
Average Reward over 5 episodes: 20.8
Episode 352: Reward: 28.0, Length: 4422, Steps: 1729816, Memory Length: 1000000
Episode 353: Reward: 28.0, Length: 4412, Steps: 1734718, Memory Length: 1000000
Episode 354: Reward: 4.0, Length: 4455, Steps: 1739668, Memory Length: 1000000
Episode 355: Reward: 44.0, Length: 4457, Steps: 1744621, Memory Length: 1000000
Episode 356: Reward: 21.0, Length: 4444, Steps: 1749558, Memory Length: 1000000
Episode 357: Reward: 0.0, Length: 4449, Steps: 1754502, Memory Length: 1000000
Episode 358: Reward: 19.0, Length: 4437, Steps: 1759432, Memory Length: 1000000
Episode 359: Reward: 0.0, Length: 4437, Steps: 1764362, Memory Length: 1000000
Episode 360: Reward: 29.0, Length: 4474, Steps: 1769333, Memory Length: 1000000
Episode 361: Reward: 22.0, Length: 4419, Steps: 1774243, Memory Length: 1000000
Average Reward over 5 episodes: 26.8
Episode 362: Reward: 4.0, Length: 4432, Steps: 1779167, Memory Length: 1000000
Episode 363: Reward: 23.0, Length: 4420, Steps: 1784078, Memory Length: 1000000
Episode 364: Reward: 6.0, Length: 4438, Steps: 1789009, Memory Length: 1000000
Episode 365: Reward: 0.0, Length: 4446, Steps: 1793949, Memory Length: 1000000
Episode 366: Reward: 33.0, Length: 4462, Steps: 1798907, Memory Length: 1000000
Episode 367: Reward: 31.0, Length: 4463, Steps: 1803866, Memory Length: 1000000
Episode 368: Reward: 0.0, Length: 4438, Steps: 1808797, Memory Length: 1000000
Episode 369: Reward: 29.0, Length: 4425, Steps: 1813714, Memory Length: 1000000
Episode 370: Reward: 6.0, Length: 4438, Steps: 1818645, Memory Length: 1000000
Episode 371: Reward: 9.0, Length: 4429, Steps: 1823566, Memory Length: 1000000
Average Reward over 5 episodes: 17.8
Episode 372: Reward: 0.0, Length: 4451, Steps: 1828512, Memory Length: 1000000
Episode 373: Reward: 0.0, Length: 4433, Steps: 1833437, Memory Length: 1000000
Episode 374: Reward: 6.0, Length: 4448, Steps: 1838379, Memory Length: 1000000
Episode 375: Reward: 47.0, Length: 4449, Steps: 1843323, Memory Length: 1000000
Episode 376: Reward: 29.0, Length: 4429, Steps: 1848244, Memory Length: 1000000
Episode 377: Reward: 15.0, Length: 4447, Steps: 1853185, Memory Length: 1000000
Episode 378: Reward: 11.0, Length: 4437, Steps: 1858115, Memory Length: 1000000
Episode 379: Reward: 22.0, Length: 4432, Steps: 1863039, Memory Length: 1000000
Episode 380: Reward: 40.0, Length: 4484, Steps: 1868022, Memory Length: 1000000
Episode 381: Reward: 27.0, Length: 4440, Steps: 1872955, Memory Length: 1000000
Average Reward over 5 episodes: 24.0
Episode 382: Reward: 35.0, Length: 4444, Steps: 1877893, Memory Length: 1000000
Episode 383: Reward: 20.0, Length: 4417, Steps: 1882801, Memory Length: 1000000
Episode 384: Reward: 34.0, Length: 4418, Steps: 1887709, Memory Length: 1000000
Episode 385: Reward: 30.0, Length: 4443, Steps: 1892646, Memory Length: 1000000
Episode 386: Reward: 16.0, Length: 4428, Steps: 1897566, Memory Length: 1000000
Episode 387: Reward: 22.0, Length: 4426, Steps: 1902484, Memory Length: 1000000
Episode 388: Reward: 12.0, Length: 4411, Steps: 1907385, Memory Length: 1000000
Episode 389: Reward: 32.0, Length: 4455, Steps: 1912335, Memory Length: 1000000
Episode 390: Reward: 7.0, Length: 4404, Steps: 1917228, Memory Length: 1000000
Episode 391: Reward: 24.0, Length: 4456, Steps: 1922179, Memory Length: 1000000
Average Reward over 5 episodes: 21.2
Episode 392: Reward: 7.0, Length: 4408, Steps: 1927077, Memory Length: 1000000
Episode 393: Reward: 15.0, Length: 4453, Steps: 1932025, Memory Length: 1000000
Episode 394: Reward: 6.0, Length: 4475, Steps: 1936997, Memory Length: 1000000
Episode 395: Reward: 2.0, Length: 4447, Steps: 1941938, Memory Length: 1000000
Episode 396: Reward: 33.0, Length: 4420, Steps: 1946849, Memory Length: 1000000
Episode 397: Reward: 36.0, Length: 4451, Steps: 1951795, Memory Length: 1000000
Episode 398: Reward: 48.0, Length: 4424, Steps: 1956711, Memory Length: 1000000
Episode 399: Reward: 12.0, Length: 4446, Steps: 1961651, Memory Length: 1000000
Episode 400: Reward: 21.0, Length: 4441, Steps: 1966585, Memory Length: 1000000
Episode 401: Reward: 31.0, Length: 4469, Steps: 1971551, Memory Length: 1000000
Average Reward over 5 episodes: 29.0
Episode 402: Reward: 12.0, Length: 4420, Steps: 1976462, Memory Length: 1000000
Episode 403: Reward: 3.0, Length: 4413, Steps: 1981365, Memory Length: 1000000
Episode 404: Reward: 28.0, Length: 4465, Steps: 1986326, Memory Length: 1000000
Episode 405: Reward: 28.0, Length: 4475, Steps: 1991298, Memory Length: 1000000
Episode 406: Reward: 13.0, Length: 4461, Steps: 1996255, Memory Length: 1000000
Episode 407: Reward: 0.0, Length: 4450, Steps: 2001199, Memory Length: 1000000
Episode 408: Reward: 16.0, Length: 4434, Steps: 2006126, Memory Length: 1000000
Episode 409: Reward: 23.0, Length: 4430, Steps: 2011048, Memory Length: 1000000
Episode 410: Reward: 82.0, Length: 4417, Steps: 2015956, Memory Length: 1000000
Episode 411: Reward: 23.0, Length: 4447, Steps: 2020897, Memory Length: 1000000
Average Reward over 5 episodes: 17.0
Episode 412: Reward: 34.0, Length: 4434, Steps: 2025824, Memory Length: 1000000
Episode 413: Reward: 33.0, Length: 4431, Steps: 2030747, Memory Length: 1000000
Episode 414: Reward: 23.0, Length: 4416, Steps: 2035654, Memory Length: 1000000
Episode 415: Reward: 28.0, Length: 4423, Steps: 2040568, Memory Length: 1000000
Episode 416: Reward: 33.0, Length: 4450, Steps: 2045513, Memory Length: 1000000
Episode 417: Reward: 28.0, Length: 4426, Steps: 2050431, Memory Length: 1000000
Episode 418: Reward: 35.0, Length: 4451, Steps: 2055376, Memory Length: 1000000
Episode 419: Reward: 6.0, Length: 4429, Steps: 2060297, Memory Length: 1000000
Episode 420: Reward: 23.0, Length: 4437, Steps: 2065227, Memory Length: 1000000
Episode 421: Reward: 0.0, Length: 4414, Steps: 2070132, Memory Length: 1000000
Average Reward over 5 episodes: 0.0
Episode 422: Reward: 12.0, Length: 4429, Steps: 2075053, Memory Length: 1000000
Episode 423: Reward: 22.0, Length: 4418, Steps: 2079962, Memory Length: 1000000
Episode 424: Reward: 28.0, Length: 4447, Steps: 2084903, Memory Length: 1000000
Episode 425: Reward: 24.0, Length: 4456, Steps: 2089854, Memory Length: 1000000
Episode 426: Reward: 16.0, Length: 4409, Steps: 2094753, Memory Length: 1000000
Episode 427: Reward: 43.0, Length: 4439, Steps: 2099685, Memory Length: 1000000
Episode 428: Reward: 22.0, Length: 4429, Steps: 2104606, Memory Length: 1000000
Episode 429: Reward: 19.0, Length: 4416, Steps: 2109513, Memory Length: 1000000
Episode 430: Reward: 39.0, Length: 4413, Steps: 2114416, Memory Length: 1000000
Episode 431: Reward: 0.0, Length: 4442, Steps: 2119352, Memory Length: 1000000
Average Reward over 5 episodes: 42.6
Episode 432: Reward: 27.0, Length: 4418, Steps: 2124261, Memory Length: 1000000
Episode 433: Reward: 39.0, Length: 4428, Steps: 2129181, Memory Length: 1000000
Episode 434: Reward: 0.0, Length: 4437, Steps: 2134111, Memory Length: 1000000
Episode 435: Reward: 28.0, Length: 4454, Steps: 2139059, Memory Length: 1000000
Episode 436: Reward: 45.0, Length: 4409, Steps: 2143958, Memory Length: 1000000
Episode 437: Reward: 2.0, Length: 4444, Steps: 2148896, Memory Length: 1000000
Episode 438: Reward: 7.0, Length: 4438, Steps: 2153827, Memory Length: 1000000
Episode 439: Reward: 30.0, Length: 4427, Steps: 2158746, Memory Length: 1000000
Episode 440: Reward: 11.0, Length: 4434, Steps: 2163673, Memory Length: 1000000
Episode 441: Reward: 5.0, Length: 4415, Steps: 2168578, Memory Length: 1000000
Average Reward over 5 episodes: 15.4
Episode 442: Reward: 20.0, Length: 4429, Steps: 2173499, Memory Length: 1000000
Episode 443: Reward: 14.0, Length: 4464, Steps: 2178459, Memory Length: 1000000
Episode 444: Reward: 13.0, Length: 4436, Steps: 2183388, Memory Length: 1000000
Episode 445: Reward: 70.0, Length: 4422, Steps: 2188302, Memory Length: 1000000
Episode 446: Reward: 31.0, Length: 4425, Steps: 2193218, Memory Length: 1000000
Episode 447: Reward: 39.0, Length: 4423, Steps: 2198133, Memory Length: 1000000
Episode 448: Reward: 2.0, Length: 4455, Steps: 2203083, Memory Length: 1000000
Episode 449: Reward: 34.0, Length: 4474, Steps: 2208054, Memory Length: 1000000
Episode 450: Reward: 0.0, Length: 4403, Steps: 2212946, Memory Length: 1000000
Episode 451: Reward: 5.0, Length: 4426, Steps: 2217864, Memory Length: 1000000
Average Reward over 5 episodes: 26.4
Episode 452: Reward: 30.0, Length: 4417, Steps: 2222772, Memory Length: 1000000
Episode 453: Reward: 5.0, Length: 4438, Steps: 2227703, Memory Length: 1000000
Episode 454: Reward: 22.0, Length: 4442, Steps: 2232638, Memory Length: 1000000
Episode 455: Reward: 23.0, Length: 4421, Steps: 2237551, Memory Length: 1000000
Episode 456: Reward: 21.0, Length: 4398, Steps: 2242437, Memory Length: 1000000
Episode 457: Reward: 34.0, Length: 4410, Steps: 2247337, Memory Length: 1000000
Episode 458: Reward: 23.0, Length: 4415, Steps: 2252243, Memory Length: 1000000
Episode 459: Reward: 11.0, Length: 4447, Steps: 2257184, Memory Length: 1000000
Episode 460: Reward: 20.0, Length: 4414, Steps: 2262088, Memory Length: 1000000
Episode 461: Reward: 7.0, Length: 4432, Steps: 2267013, Memory Length: 1000000
Average Reward over 5 episodes: 21.6
Episode 462: Reward: 21.0, Length: 4417, Steps: 2271921, Memory Length: 1000000
Episode 463: Reward: 16.0, Length: 4459, Steps: 2276875, Memory Length: 1000000
Episode 464: Reward: 26.0, Length: 4443, Steps: 2281812, Memory Length: 1000000
Episode 465: Reward: 38.0, Length: 4449, Steps: 2286755, Memory Length: 1000000
Episode 466: Reward: 22.0, Length: 4460, Steps: 2291711, Memory Length: 1000000
Episode 467: Reward: 11.0, Length: 4432, Steps: 2296635, Memory Length: 1000000
Episode 468: Reward: 7.0, Length: 4420, Steps: 2301546, Memory Length: 1000000
Episode 469: Reward: 29.0, Length: 4449, Steps: 2306489, Memory Length: 1000000
Episode 470: Reward: 36.0, Length: 4456, Steps: 2311441, Memory Length: 1000000
Episode 471: Reward: 21.0, Length: 4442, Steps: 2316376, Memory Length: 1000000
Average Reward over 5 episodes: 23.0
Episode 472: Reward: 29.0, Length: 4425, Steps: 2321293, Memory Length: 1000000
Episode 473: Reward: 39.0, Length: 4454, Steps: 2326242, Memory Length: 1000000
Episode 474: Reward: 31.0, Length: 4438, Steps: 2331173, Memory Length: 1000000
Episode 475: Reward: 22.0, Length: 4414, Steps: 2336077, Memory Length: 1000000
Episode 476: Reward: 4.0, Length: 4433, Steps: 2341003, Memory Length: 1000000
Episode 477: Reward: 28.0, Length: 4469, Steps: 2345968, Memory Length: 1000000
Episode 478: Reward: 24.0, Length: 4446, Steps: 2350908, Memory Length: 1000000
Episode 479: Reward: 30.0, Length: 4454, Steps: 2355857, Memory Length: 1000000
Episode 480: Reward: 24.0, Length: 4446, Steps: 2360797, Memory Length: 1000000
Episode 481: Reward: 23.0, Length: 4431, Steps: 2365721, Memory Length: 1000000
Average Reward over 5 episodes: 30.0
Episode 482: Reward: 22.0, Length: 4473, Steps: 2370691, Memory Length: 1000000
Episode 483: Reward: 13.0, Length: 4433, Steps: 2375616, Memory Length: 1000000
Episode 484: Reward: 21.0, Length: 4443, Steps: 2380553, Memory Length: 1000000
Episode 485: Reward: 21.0, Length: 4431, Steps: 2385476, Memory Length: 1000000
Episode 486: Reward: 33.0, Length: 4421, Steps: 2390388, Memory Length: 1000000
Episode 487: Reward: 30.0, Length: 4442, Steps: 2395324, Memory Length: 1000000
Episode 488: Reward: 1.0, Length: 4449, Steps: 2400267, Memory Length: 1000000
Episode 489: Reward: 7.0, Length: 4461, Steps: 2405224, Memory Length: 1000000
Episode 490: Reward: 0.0, Length: 4412, Steps: 2410126, Memory Length: 1000000
Episode 491: Reward: 10.0, Length: 4422, Steps: 2415039, Memory Length: 1000000
Average Reward over 5 episodes: 19.2
