Episode 1: Reward: 39.0, Length: 4444, Steps: 4444, Memory Length: 4444
Episode 77: Reward: 2.0, Length: 4450, Steps: 373904, Memory Length: 341514
Episode 78: Reward: 0.0, Length: 4442, Steps: 378839, Memory Length: 345956
Episode 79: Reward: 65.0, Length: 4430, Steps: 383762, Memory Length: 350386
Episode 80: Reward: 45.0, Length: 4426, Steps: 388679, Memory Length: 354812
Episode 81: Reward: 0.0, Length: 4422, Steps: 393593, Memory Length: 359234
Average Reward over 5 episodes: 0.0
Episode 82: Reward: 4.0, Length: 4412, Steps: 398495, Memory Length: 363646
Episode 83: Reward: 25.0, Length: 4441, Steps: 403429, Memory Length: 368087
Episode 84: Reward: 24.0, Length: 4423, Steps: 408344, Memory Length: 372510
Episode 85: Reward: 3.0, Length: 4465, Steps: 413305, Memory Length: 376975
Episode 86: Reward: 11.0, Length: 4437, Steps: 418235, Memory Length: 381412
Episode 87: Reward: 28.0, Length: 4435, Steps: 423163, Memory Length: 385847
Episode 88: Reward: 2.0, Length: 4452, Steps: 428109, Memory Length: 390299
Episode 89: Reward: 15.0, Length: 4440, Steps: 433043, Memory Length: 394739
Episode 90: Reward: 40.0, Length: 4434, Steps: 437969, Memory Length: 399173
Episode 91: Reward: 15.0, Length: 4422, Steps: 442883, Memory Length: 403595
Average Reward over 5 episodes: 28.4
Episode 92: Reward: 30.0, Length: 4442, Steps: 447818, Memory Length: 408037
Episode 93: Reward: 60.0, Length: 4453, Steps: 452766, Memory Length: 412490
Episode 94: Reward: 4.0, Length: 4445, Steps: 457705, Memory Length: 416935
Episode 95: Reward: 0.0, Length: 4450, Steps: 462649, Memory Length: 421385
Episode 96: Reward: 24.0, Length: 4454, Steps: 467598, Memory Length: 425839
Episode 97: Reward: 7.0, Length: 4451, Steps: 472544, Memory Length: 430290
